Date,Open,High,Low,Close,Volume
2025-05-12,6.88,7.2,6.77,7.02,314934
2025-05-13,7.1,7.24,6.95,7.025,57670
2025-05-14,6.91,7.17,6.87,6.96,33476
2025-05-15,7.03,7.275,7.0,7.27,39722
2025-05-16,7.33,7.61,7.31,7.56,23201
2025-05-19,7.27,7.56,7.27,7.495,24321
2025-05-20,7.51,7.69,7.48,7.585,13699
2025-05-21,7.19,7.225,6.86,6.89,48721
2025-05-22,7.04,7.32,7.04,7.26,18800
2025-05-23,6.78,7.07,6.78,7.0,13755
2025-05-27,7.15,7.48,7.11,7.47,19146
2025-05-28,7.7,7.75,7.39,7.46,10577
2025-05-29,7.59,7.59,7.16,7.335,15550
2025-05-30,7.13,7.43,7.13,7.39,27199
2025-06-02,7.27,7.42,7.075,7.41,15406
2025-06-03,7.57,7.86,7.57,7.8,10337
2025-06-04,7.76,7.76,7.55,7.64,8915
2025-06-05,7.7,7.92,7.66,7.78,28906
2025-06-06,8.0,8.03,7.85,8.025,20440
2025-06-09,8.18,8.21,8.11,8.155,16686
2025-06-10,8.29,8.29,8.13,8.15,18129
2025-06-11,8.1,8.17,7.89,7.89,16992
2025-06-12,7.57,7.68,7.54,7.62,4076
2025-06-13,7.38,7.54,7.02,7.09,40187
2025-06-16,7.29,7.62,7.28,7.58,18424
2025-06-17,7.47,7.6,7.35,7.35,15822
2025-06-20,7.6,7.6,7.45,7.54,17399
2025-06-23,7.36,7.7,7.28,7.67,18430
2025-06-27,7.605,7.79,7.54,7.67,8737
2025-06-30,7.68,7.68,7.48,7.6,17419
2025-07-01,7.75,8.52,7.75,8.265,20648
2025-07-02,8.31,8.52,8.12,8.52,20333
2025-07-03,8.53,8.69,8.53,8.64,6966
2025-07-07,8.49,8.58,8.29,8.425,13062
2025-07-08,8.58,8.58,8.25,8.4,10508
2025-07-11,8.53,8.61,8.46,8.53,12207
2025-07-14,8.485,8.7,8.45,8.68,14467
2025-07-15,8.56,8.6,8.14,8.14,14819
2025-07-16,8.2,8.28,7.91,8.12,21559
2025-07-17,8.22,8.29,8.11,8.25,7661
2025-07-22,8.975,9.31,8.8,9.245,26581
2025-07-23,9.29,9.39,9.15,9.32,8707
2025-07-24,9.295,9.3,8.85,8.87,12531
2025-07-28,8.86,8.99,8.76,8.88,6873
2025-07-29,8.79,8.79,8.415,8.415,7450
2025-07-30,8.495,8.51,8.05,8.14,17931
2025-08-01,7.73,7.74,7.36,7.68,15961
2025-08-04,7.92,8.17,7.92,8.17,4400
2025-08-06,8.4,8.735,8.4,8.735,5650
2025-08-07,9.025,9.12,8.58,8.69,10361
2025-08-08,8.67,8.78,8.49,8.53,4020
2025-08-11,8.685,8.685,8.535,8.625,10054
